Question#,Topic,Difficulty,SET-A Score,SET-B Score,Combined,Verdict
1,Reproduction,Easy,36,35,36,miss
2,Reproduction,Moderate,36,36,36,miss
3,Reproduction,Hard,26,26,26,miss
4,Reproduction,Easy,36,35,36,miss
5,Reproduction,Moderate,36,36,36,miss
6,Reproduction,Hard,26,26,26,miss
7,Reproduction,Easy,36,35,36,miss
8,Reproduction,Moderate,36,36,36,miss
9,Reproduction,Hard,26,26,26,miss
10,Reproduction,Easy,36,35,36,miss
11,Genetics and Evolution,Moderate,36,36,36,miss
12,Genetics and Evolution,Hard,26,26,26,miss
13,Genetics and Evolution,Easy,36,35,36,miss
14,Genetics and Evolution,Moderate,36,36,36,miss
15,Genetics and Evolution,Hard,26,26,26,miss
16,Genetics and Evolution,Easy,36,35,36,miss
17,Genetics and Evolution,Moderate,36,36,36,miss
18,Genetics and Evolution,Hard,26,26,26,miss
19,Genetics and Evolution,Easy,36,35,36,miss
20,Genetics and Evolution,Moderate,36,36,36,miss
21,Biology in Human Welfare,Hard,26,26,26,miss
22,Biology in Human Welfare,Easy,36,35,36,miss
23,Biology in Human Welfare,Moderate,36,36,36,miss
24,Biology in Human Welfare,Hard,26,26,26,miss
25,Biology in Human Welfare,Easy,36,35,36,miss
26,Biology in Human Welfare,Moderate,36,36,36,miss
27,Biology in Human Welfare,Hard,26,26,26,miss
28,Biology in Human Welfare,Easy,36,35,36,miss
29,Biology in Human Welfare,Moderate,36,36,36,miss
30,Biology in Human Welfare,Hard,26,26,26,miss
31,Biotechnology,Easy,36,35,36,miss
32,Biotechnology,Moderate,36,36,36,miss
33,Biotechnology,Hard,26,26,26,miss
34,Biotechnology,Easy,36,35,36,miss
35,Biotechnology,Moderate,36,36,36,miss
36,Biotechnology,Hard,26,26,26,miss
37,Biotechnology,Easy,36,35,36,miss
38,Biotechnology,Moderate,36,36,36,miss
39,Biotechnology,Hard,26,26,26,miss
40,Biotechnology,Easy,36,35,36,miss
41,Ecology and Environment,Moderate,36,36,36,miss
42,Ecology and Environment,Hard,26,26,26,miss
43,Ecology and Environment,Easy,36,35,36,miss
44,Ecology and Environment,Moderate,36,36,36,miss
45,Ecology and Environment,Hard,26,26,26,miss
46,Ecology and Environment,Easy,36,35,36,miss
47,Ecology and Environment,Moderate,36,36,36,miss
48,Ecology and Environment,Hard,26,26,26,miss
49,Ecology and Environment,Easy,36,35,36,miss
50,Ecology and Environment,Moderate,36,36,36,miss
51,Animal Kingdom,Hard,26,26,26,miss
52,Animal Kingdom,Easy,36,35,36,miss
53,Animal Kingdom,Moderate,36,36,36,miss
54,Animal Kingdom,Hard,26,26,26,miss
55,Animal Kingdom,Easy,36,35,36,miss
56,Animal Kingdom,Moderate,36,36,36,miss
57,Animal Kingdom,Hard,26,26,26,miss
58,Animal Kingdom,Easy,36,35,36,miss
59,Animal Kingdom,Moderate,36,36,36,miss
60,Animal Kingdom,Hard,26,26,26,miss
